Variable:,pr
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
2000,802.66,703.67,532.00,710.80,614.26,767.02,1596.51,774.53,1034.58,1158.13,736.74,560.64,1125.03,465.13,678.86,439.92,745.84,1071.63,769.08,1478.68,805.49
2001,767.13,777.68,602.52,745.69,708.94,803.80,1255.72,809.85,740.43,1016.21,753.06,637.62,841.05,504.79,612.82,468.84,743.74,1027.57,781.17,1349.88,800.72
2002,950.18,892.60,662.70,846.66,754.57,1014.13,1549.55,920.42,1207.93,1313.03,976.06,705.96,1320.23,580.30,774.17,524.62,930.29,1098.32,959.96,1810.99,980.05
2003,720.31,695.78,660.61,922.83,739.01,667.50,1141.30,763.78,674.89,747.49,678.29,595.62,723.76,559.11,766.78,650.79,631.24,767.71,682.56,1049.69,660.83
2004,853.08,813.03,722.76,911.07,813.08,918.99,1517.60,858.71,858.90,968.40,850.43,694.82,848.42,626.27,863.86,567.61,843.50,884.06,839.06,1252.06,1013.16
2005,831.26,963.99,822.44,1044.32,971.46,799.07,1318.93,991.32,747.55,803.93,964.95,833.47,790.52,695.87,691.18,583.59,812.48,827.24,911.67,1121.21,800.87
2006,704.82,738.89,679.06,844.56,723.89,658.46,1155.58,704.18,717.61,884.97,696.91,614.63,883.81,564.61,462.81,495.11,570.60,808.36,668.95,1424.82,657.36
2007,737.22,675.60,711.62,976.97,772.49,647.25,1319.13,694.88,575.88,909.31,689.23,604.95,792.46,572.32,552.69,584.46,584.91,964.39,683.85,1393.45,755.05
2008,908.08,920.56,710.64,858.06,846.85,965.64,1496.76,1026.90,1079.94,1137.77,863.35,757.59,1117.72,615.16,800.86,433.35,918.80,1051.24,935.03,1527.12,890.72
2009,874.27,871.49,891.20,1193.98,981.77,806.62,1500.83,886.23,884.07,971.43,786.16,795.63,934.25,751.45,639.11,728.07,722.41,949.67,798.60,1294.36,877.74
2010,953.09,1033.24,884.87,1078.95,990.93,961.54,1498.89,1070.77,1023.05,1045.14,1021.34,878.08,989.34,780.14,894.88,585.00,919.79,949.46,1054.81,1290.42,935.82
2011,720.84,683.77,618.79,836.69,703.24,641.36,1148.71,738.07,741.29,870.66,672.20,571.11,833.93,495.17,748.17,533.31,606.10,876.43,696.78,1143.41,674.53
2012,749.07,621.93,533.77,726.66,581.77,751.34,1441.12,679.27,876.41,1034.42,684.32,493.98,999.37,466.00,623.14,456.80,662.36,1013.57,694.90,1437.14,832.84
2013,858.64,782.13,635.86,765.51,701.98,905.20,1605.51,813.34,1021.99,1114.13,861.91,636.73,1135.60,572.86,758.04,452.90,823.00,1010.48,869.82,1585.22,957.17
2014,927.82,936.35,726.53,919.82,786.58,1031.49,1674.97,905.10,1137.08,1152.94,1007.12,740.67,1154.02,658.81,661.48,505.59,941.52,995.89,1012.84,1569.50,1080.11
2015,713.28,633.06,615.68,819.33,677.64,612.92,1433.07,647.20,715.86,896.94,684.04,531.92,831.78,522.56,647.55,555.13,529.08,891.24,678.00,1139.14,778.29
2016,776.50,630.19,577.63,748.03,565.38,785.67,1699.01,647.62,851.75,1138.36,730.46,486.50,982.14,520.39,604.30,447.23,662.21,1056.10,737.35,1401.72,953.70
2017,669.65,487.17,486.28,658.67,520.64,645.36,1622.39,542.74,670.72,1034.19,544.78,415.74,825.01,433.12,499.37,357.22,522.76,1086.32,547.24,1243.34,845.02
2018,739.44,677.29,496.24,687.03,550.83,740.22,1367.87,735.26,919.18,831.58,741.19,520.71,947.41,455.43,833.38,523.07,712.42,842.39,776.35,1306.84,711.78
2019,890.82,897.77,700.91,857.83,809.63,947.16,1654.69,925.28,991.78,1125.42,934.75,738.24,1032.14,620.56,718.41,469.68,868.66,1056.12,968.92,1414.92,983.03
2020,769.88,725.47,577.52,677.77,617.23,805.18,1570.91,771.11,892.39,1009.80,799.30,556.32,957.97,503.42,578.01,413.39,731.93,984.47,827.03,1307.86,914.71
2021,730.57,649.86,538.83,743.39,615.67,692.84,1284.78,690.16,774.08,996.33,693.42,535.25,936.80,474.70,644.99,515.47,616.62,949.07,690.67,1401.64,749.21
