Variable:,pr
,Latvia,Aizkraukles,Aluksnes,Balvu,Bauskas,Cesu,Daugavpils,Dobeles,Gulbenes,Jekabpils,Jelgavas,Kraslavas,Kuldigas,Liepajas,Limbazu,Ludzas,Madonas,Ogres,Preilu,Rezeknes,Rigas,Saldus,Talsu,Tukuma,Valkas,Valmieras,Ventspils
1992,634.56,625.44,581.82,564.85,612.95,657.31,613.58,659.05,614.07,634.10,627.94,592.89,712.69,727.85,627.11,583.56,630.39,612.09,610.50,583.56,618.94,709.23,646.25,654.86,636.28,632.81,685.01
1993,675.44,687.64,647.54,628.51,661.75,726.18,649.60,684.71,664.79,680.22,657.71,618.65,717.92,735.76,690.75,621.22,685.36,683.25,639.72,616.68,676.42,724.53,657.99,675.27,702.35,696.44,678.64
1994,662.82,665.29,609.53,588.28,625.57,699.14,647.57,683.27,628.96,665.81,632.85,623.81,739.57,749.28,666.99,599.58,656.53,664.08,646.17,605.29,653.39,733.23,673.94,687.14,663.09,658.39,707.78
1995,686.76,707.06,638.74,619.01,674.48,728.07,677.27,704.01,656.99,704.44,681.80,642.04,726.08,743.88,699.40,629.74,688.53,702.81,670.02,635.40,691.19,738.60,670.67,690.21,697.59,701.86,690.42
1996,579.67,596.61,565.25,556.23,545.31,630.79,569.59,551.21,585.02,593.63,543.20,566.25,579.09,590.05,603.07,562.63,611.67,593.02,571.67,563.88,574.07,580.57,547.45,554.59,606.38,606.32,571.52
1997,728.14,739.57,727.35,704.34,677.25,794.17,717.30,695.29,745.73,735.93,684.50,702.74,733.15,738.47,751.55,701.63,761.62,740.65,716.17,701.40,727.24,736.47,692.82,701.49,773.18,751.65,710.78
1998,757.01,766.55,738.59,731.42,721.01,799.46,753.56,756.41,751.44,767.40,722.36,748.29,789.34,823.42,753.66,749.26,772.23,760.18,743.75,728.31,737.48,801.76,710.57,739.42,770.24,750.58,736.01
1999,626.80,608.76,558.50,532.85,609.21,654.13,565.42,691.20,579.20,598.58,635.25,526.12,738.33,763.63,666.39,520.78,597.01,623.23,557.84,531.08,636.07,744.06,657.52,682.50,627.79,657.52,695.06
2000,650.51,653.28,641.35,631.57,604.41,682.16,660.30,634.21,653.71,656.92,602.16,655.37,677.33,678.51,654.15,647.80,662.01,642.38,647.58,639.72,628.92,674.29,628.86,634.98,657.89,655.49,660.12
2001,790.11,796.74,770.43,728.44,743.49,855.31,729.63,812.97,793.01,778.96,772.35,689.88,852.80,865.46,825.21,692.57,811.10,810.57,728.18,705.93,796.00,862.25,788.15,810.49,820.20,824.81,812.21
