Variable:,pr
,Ireland,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Munster,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
1982,1291.75,1182.61,1165.80,1307.42,1506.53,1510.70,1072.12,1244.17,1735.39,991.37,1134.34,1034.94,1370.93,1330.68,1127.33,978.38,1349.19,963.45,1057.94,1057.94,993.46,1171.09,1404.28,1253.07,1394.75,1031.08,1218.64,1160.81
1983,1138.42,1064.50,1055.19,1148.57,1236.44,1301.44,994.74,1124.55,1432.99,944.68,1023.44,983.30,1234.77,1152.08,1054.65,857.61,1198.83,892.72,908.16,908.16,966.57,1081.87,1248.45,1128.78,1178.97,982.42,1038.72,1040.37
1984,1120.99,987.71,1092.68,1085.02,1203.86,1417.94,947.78,1115.98,1397.74,885.96,948.68,903.10,1292.31,1087.23,1035.89,903.80,1257.62,888.69,986.25,986.25,877.65,1071.58,1330.44,1042.69,1115.33,946.57,1004.44,989.95
1985,1173.26,1033.56,1107.81,1172.24,1263.72,1458.53,995.51,1183.84,1458.72,916.61,1015.18,950.85,1332.04,1153.94,1062.64,922.89,1295.06,904.45,1005.76,1005.76,929.37,1126.54,1377.48,1107.98,1214.18,969.95,1049.40,1034.15
1986,1270.15,1124.35,1198.76,1264.96,1346.69,1562.27,1065.22,1283.71,1566.14,1000.42,1084.53,1034.33,1460.00,1243.09,1173.67,987.95,1446.91,984.07,1059.29,1059.29,1017.33,1235.06,1519.62,1194.49,1284.32,1067.71,1130.98,1117.56
1987,1034.08,968.25,978.96,1012.61,1135.89,1255.74,928.30,981.82,1299.61,847.27,935.03,862.28,1132.36,1025.84,928.26,854.80,1083.73,838.68,900.98,900.98,826.64,943.41,1159.04,999.72,1122.84,869.23,991.95,968.16
1988,1230.72,1074.09,1158.91,1230.85,1349.42,1543.07,1011.74,1213.75,1555.97,945.23,1073.39,992.47,1386.85,1230.58,1105.43,960.59,1343.60,933.67,1081.25,1081.25,952.44,1172.61,1420.29,1188.68,1305.55,997.86,1111.83,1060.20
1989,1052.62,907.38,960.54,1067.12,1167.90,1330.32,834.52,1060.08,1359.41,789.40,897.45,823.49,1191.09,1052.24,937.65,765.48,1194.13,761.08,859.00,859.00,795.30,994.33,1245.87,982.54,1091.70,834.04,943.37,893.37
1990,1186.73,1023.67,1198.10,1129.82,1180.70,1654.70,969.93,1223.97,1386.33,929.90,956.61,942.10,1461.57,1094.22,1143.56,966.09,1426.70,941.46,1081.65,1081.65,940.72,1201.49,1510.10,1054.96,1101.52,1016.28,1010.19,1015.26
1991,1070.58,971.41,998.31,1058.94,1152.03,1357.46,894.17,1063.22,1337.35,845.91,926.20,868.30,1211.63,1054.09,961.75,812.71,1197.40,811.81,879.12,879.12,845.49,1019.66,1255.82,1009.88,1102.16,883.78,989.58,958.22
1992,1129.81,919.76,1096.77,1128.06,1172.19,1564.67,882.89,1170.42,1382.13,833.95,908.27,863.22,1364.79,1091.11,1045.17,886.00,1349.19,852.77,996.74,996.74,855.43,1122.93,1431.71,1017.57,1082.40,920.07,937.17,911.00
1993,1229.93,1180.35,1165.81,1204.21,1335.58,1473.89,1109.07,1171.49,1511.19,1022.00,1127.41,1048.77,1351.36,1219.06,1127.23,1018.89,1279.17,1008.15,1063.93,1063.93,1000.95,1139.63,1366.33,1198.42,1321.46,1047.61,1194.10,1169.39
1994,1309.49,1203.84,1153.12,1332.03,1494.87,1522.62,1085.57,1280.40,1713.78,1021.11,1179.05,1076.21,1401.15,1349.81,1137.45,952.17,1399.73,957.62,1019.94,1019.94,1030.63,1191.71,1449.58,1291.33,1430.50,1051.15,1246.21,1170.08
1995,1155.17,1044.02,1097.47,1141.69,1255.03,1419.07,971.23,1135.98,1468.34,908.18,999.25,933.76,1288.69,1141.03,1045.73,924.02,1278.22,909.63,996.60,996.60,913.06,1088.36,1331.32,1093.12,1194.47,966.30,1059.92,1022.80
1996,1144.33,1069.58,1054.57,1140.21,1290.54,1332.04,981.66,1104.36,1482.74,926.60,1031.97,951.79,1221.99,1157.38,1020.26,912.42,1197.88,894.36,980.88,980.88,909.21,1033.70,1235.62,1118.68,1243.97,944.69,1097.26,1041.15
1997,1147.89,1039.15,1066.72,1158.52,1245.52,1388.69,959.71,1151.36,1452.66,906.61,1011.70,942.18,1276.75,1141.86,1046.83,891.95,1242.82,887.16,955.75,955.75,911.19,1084.88,1308.03,1100.97,1202.21,948.69,1057.00,1012.71
1998,1314.98,1185.76,1219.49,1319.52,1435.93,1583.79,1114.62,1315.24,1666.10,1048.19,1144.35,1082.53,1446.24,1311.83,1191.19,1028.83,1436.15,1024.20,1104.15,1104.15,1060.84,1244.82,1487.80,1254.01,1363.65,1097.45,1206.53,1169.12
