Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","752","Sweden","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","102.7234","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","102.8116","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","102.6996","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","103.8295","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","103.782","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","103.3612","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","103.6225","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","103.6293","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","104.5453","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","104.447","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","104.6302","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","104.8812","X","Figure from international organizations","base year is 2015"
